"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
2010,"VT","Vermont",625909,820,7,141,76,596,14160,3348,10373,439,"55,928",44.08097442
2010,"WA","Washington",6742950,21138,154,2579,5929,12476,249426,55192,168490,25744,"56,163",42.50297732
2010,"WI","Wisconsin",5691659,14167,155,1191,4516,8305,142781,26636,107993,8152,"50,351",39.06981132
2010,"WV","West Virginia",1854368,5586,58,362,776,4390,41301,10778,28104,2419,"42,777",26.08285373
2010,"WY","Wyoming",564554,1117,8,162,77,870,13869,2151,11126,592,"52,201",37.34643326
2011,"USA","United States",311587816,1206031,14661,84175,354772,752423,9052743,2185140,6151095,716508,"50,054",38.7056373
2011,"AK","Alaska",723860,4416,30,436,576,3374,19094,2852,14854,1388,"57,431",34.41950338
2011,"AL","Alabama",4803689,20166,299,1370,4906,13591,173192,51119,111411,10662,"42,590",31.90540343
2011,"AR","Arkansas",2938582,14173,160,1230,2357,10426,110430,34016,70645,5769,"41,302",28.18071273
2011,"AZ","Arizona",6467315,26789,397,2499,7145,16748,229896,54695,155400,19801,"48,621",35.76374591
2011,"CA","California",37683933,154943,1792,7665,54291,91195,973822,230075,596905,146842,"53,367",38.90135893
2011,"CO","Colorado",5116302,16085,155,2285,3299,10346,132781,25725,96054,11002,"58,629",46.98424113
2011,"CT","Connecticut",3586717,9889,129,689,3689,5382,77205,15468,55067,6670,"65,415",46.4027839
2011,"DC","District of Columbia",619020,7433,108,173,4094,3058,29654,3850,21347,4457,"55,251",57.98595906
2011,"DE","Delaware",908137,5144,48,307,1558,3231,31163,7617,22001,1545,"54,660",37.59555582
2011,"FL","Florida",19082262,98198,984,5273,25622,66319,671200,170171,461408,39621,"45,105",36.95783466
2011,"GA","Georgia",9812460,36762,549,2066,12266,21881,357235,96014,231543,29678,"45,973",36.3662717
2011,"HI","Hawaii",1378129,3465,20,353,994,2098,43874,8165,31240,4469,"59,047",41.55083331
2011,"IA","Iowa",3064097,7883,44,866,824,6149,72043,17573,50472,3998,"50,219",41.14056562
2011,"ID","Idaho",1583744,3202,35,444,188,2535,32875,6915,24629,1331,"47,459",36.46644186
2011,"IL","Illinois",12859752,54523,781,3030,20217,30495,344468,77719,237362,29387,"50,637",41.7466299
2011,"IN","Indiana",6516353,21619,306,1758,6977,12578,206016,50571,140630,14815,"44,445",33.80980163
2011,"KS","Kansas",2870386,10209,111,1122,1448,7528,88655,18712,63259,6684,"46,147",40.67272733
2011,"KY","Kentucky",4366814,10465,151,1499,3705,5110,119037,32750,79586,6701,"39,856",30.76912835
2011,"LA","Louisiana",4574766,25373,506,1262,5235,18370,168529,46242,113174,9113,"40,658",27.86435311
2011,"MA","Massachusetts",6607003,28232,184,1654,6768,19626,148829,36403,101644,10782,"63,313",50.76663225
2011,"MD","Maryland",5839572,28817,399,1200,10342,16876,166846,35823,114951,16072,"68,876",45.42077039
2011,"ME","Maine",1328544,1638,26,394,370,848,33829,7865,24886,1078,"49,693",40.02625378
2011,"MI","Michigan",9876801,43731,617,4344,10263,28507,251329,69755,156666,24908,"48,879",36.84311024
2011,"MN","Minnesota",5347299,12323,75,2113,3385,6750,136183,25681,102354,8148,"57,820",46.5780542
2011,"MO","Missouri",6008984,26888,366,1469,6275,18778,199085,44875,138879,15331,"45,774",36.3512738
2011,"MS","Mississippi",2977457,8009,232,863,2496,4418,89809,30722,54179,4908,"41,090",30.27440133
2011,"MT","Montana",997667,2755,29,366,171,2189,23885,3347,19089,1449,"40,277",39.16438609
2011,"NC","North Carolina",9651103,33421,498,1959,9448,21516,337806,105534,215453,16819,"45,206",38.24108244
2011,"ND","North Dakota",684740,1699,24,266,91,1318,13334,2458,9891,985,"56,361",44.71716296
2011,"NE","Nebraska",1842234,4672,68,699,993,2912,50894,8725,38060,4109,"55,616",41.48650291
2011,"NH","New Hampshire",1317807,2864,16,581,509,1758,32756,6244,25398,1114,"65,880",45.77566038
2011,"NJ","New Jersey",8834773,27203,380,1006,12209,13608,189719,43238,129066,17415,"62,338",45.06403409
2011,"NM","New Mexico",2078674,11904,158,856,1720,9170,73549,21419,46730,5400,"41,982",33.90515988
2011,"NV","Nevada",2720028,15452,139,913,4308,10092,70075,20342,40156,9577,"47,043",29.95765707
2011,"NY","New York",19501616,77463,769,2751,28405,45538,371837,65227,287361,19249,"50,636",44.57864132
2011,"OH","Ohio",11541007,35218,500,3679,15991,15048,380572,112901,246744,20927,"44,648",35.50793736
2011,"OK","Oklahoma",3784163,17311,212,1410,3288,12401,127618,36462,80064,11092,"48,455",32.96285594
2011,"OR","Oregon",3868229,9643,84,1239,2237,6083,121869,20704,92059,9106,"51,526",39.00961593
2011,"PA","Pennsylvania",12743948,46189,639,3339,16165,26046,283442,57966,208604,16872,"49,910",38.56946795
2011,"RI","Rhode Island",1050646,2586,20,319,744,1503,27976,6836,18765,2375,"49,033",43.15981876
2011,"SC","South Carolina",4673348,27894,320,1678,4631,21265,183243,47351,122255,13637,"40,084",34.17085939
2011,"SD","South Dakota",823593,2105,20,503,167,1415,15299,2927,11423,949,"47,223",39.4242306
2011,"TN","Tennessee",6399787,38895,380,2095,8082,28338,230900,62830,153928,14142,"42,279",32.14821634
2011,"TX","Texas",25631778,104734,1130,7486,28620,67498,892810,215755,613131,63924,"49,047",34.4877136
2011,"UT","Utah",2814347,5547,50,901,1079,3517,84084,13170,64727,6187,"55,493",40.33594403
2011,"VA","Virginia",8104384,16014,304,1591,5425,8694,182902,30656,142476,9770,"62,616",44.95640136
2011,"VT","Vermont",626592,925,11,146,99,669,15086,3838,10720,528,"51,862",46.2272478
2011,"WA","Washington",6823267,20152,163,2320,5627,12042,244209,56561,162828,24820,"56,850",43.28768897
2011,"WI","Wisconsin",5709843,14268,138,1190,4600,8340,139912,27167,104472,8273,"52,058",39.55676554
2011,"WV","West Virginia",1854908,5497,87,372,802,4236,39009,10245,26656,2108,"41,821",27.79446882
2011,"WY","Wyoming",567356,1245,18,146,71,1010,12878,1864,10493,521,"54,509",36.15961578
2012,"USA","United States",313873685,1217057,14856,85141,355051,762009,9001992,2109932,6168874,723186,"51,017",39.38894426
2012,"AK","Alaska",730307,4412,30,583,630,3169,20037,2950,15565,1522,"63,648",37.02913224
2012,"AL","Alabama",4817528,21693,342,1296,5020,15035,168878,47481,111523,9874,"43,464",33.05444933
2012,"AR","Arkansas",2949828,13851,174,1233,2310,10134,109389,32673,70982,5734,"39,018",29.30201721
2012,"AZ","Arizona",6551149,28077,358,2282,7383,18054,231701,52911,159808,18982,"47,044",36.67619716
2012,"CA","California",37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608,"57,020",39.6946075
2012,"CO","Colorado",5189458,15951,152,2122,3392,10285,139355,26163,101091,12101,"57,255",47.46684123
2012,"CT","Connecticut",3591765,10183,117,933,3709,5424,77169,14787,55904,6478,"64,247",47.45544286
2012,"DC","District of Columbia",633427,7866,88,236,4037,3505,30757,3519,23575,3663,"65,246",59.15540081
2012,"DE","Delaware",917053,5048,56,249,1498,3245,30707,7389,21880,1438,"48,972",38.38141143
2012,"FL","Florida",19320749,94087,1009,5260,23889,63929,632988,153563,442095,37330,"46,071",38.08408672
